episode_id,timestamp,done_reason,episode_len,episode_return,min_distance,final_distance,min_theta_deg,final_theta_deg
190,2026-05-15 15:23:06,bad_angle,46,-48.94623834561705,683.81884765625,683.81884765625,80.8738520751548,110.0139662444221
191,2026-05-15 15:23:09,low_agl,302,-26.11913926512471,520.9481811523438,520.9481811523438,3.209856791957601,80.85111437540783
192,2026-05-15 15:23:10,bad_angle,26,-49.85670800035839,694.1572265625,694.1572265625,81.69767534189589,126.3018090751248
193,2026-05-15 15:23:10,bad_angle,27,-50.19235857590631,694.5828857421875,694.5828857421875,82.50867834356487,114.123137822696
194,2026-05-15 15:23:10,bad_angle,27,-49.75820376679849,693.85302734375,693.85302734375,82.47641252992572,116.90162462611134
195,2026-05-15 15:23:12,low_agl,144,-44.62284334015467,621.4003295898438,621.4003295898438,12.825584081930081,57.399441294115604
196,2026-05-15 15:23:16,low_agl,345,-22.95001231563348,495.08660888671875,495.08660888671875,2.152132416428957,24.1035548734147
197,2026-05-15 15:23:17,bad_angle,103,-42.98706622959693,649.9877319335938,649.9877319335938,33.863125093534,113.76085775892936
198,2026-05-15 15:23:18,bad_angle,126,-44.16715551668645,641.7181396484375,641.7181396484375,58.30252207598552,111.8869612091905
199,2026-05-15 15:23:18,bad_angle,28,-49.85354746512642,693.6168823242188,693.6168823242188,81.87293116580925,114.19221152577234
200,2026-05-15 15:23:19,bad_angle,45,-49.69332773434785,686.6258544921875,686.6258544921875,81.26813157518295,111.79633142909361
201,2026-05-15 15:23:21,bad_angle,187,-34.86464427038332,599.6534423828125,599.6534423828125,10.106492603537175,116.15900547841254
202,2026-05-15 15:23:27,low_agl,522,-9.983272280141108,391.44384765625,391.44384765625,4.750977133823319,71.17241530260877
203,2026-05-15 15:23:33,low_agl,596,-0.8789938449643202,345.6067199707031,345.6067199707031,3.0780981739998237,29.53498106556408
204,2026-05-15 15:23:37,bad_angle,357,-14.271858644323103,489.2709045410156,489.2709045410156,1.7144067234205846,112.16779809729393
205,2026-05-15 15:23:40,low_agl,206,-38.70859849366667,580.6544799804688,580.6544799804688,0.8388347418763066,65.75091166777612
206,2026-05-15 15:23:42,bad_angle,195,-38.687620310184954,601.93701171875,601.93701171875,27.754031437598055,110.26311105477666
207,2026-05-15 15:23:42,bad_angle,26,-50.1114594663543,695.362060546875,695.362060546875,82.2207448889138,117.56907071180498
208,2026-05-15 15:23:43,bad_angle,28,-49.73622886524691,694.6028442382812,694.6028442382812,78.07702621381797,115.29994526574335
209,2026-05-15 15:23:45,low_agl,204,-44.87176605828543,592.4306640625,592.4306640625,32.67500344212653,46.61621184006628
210,2026-05-15 15:23:47,low_agl,209,-45.509901276935096,588.453369140625,588.453369140625,18.816165418029843,84.64595381788857
211,2026-05-15 15:23:50,low_agl,293,-32.15454710285256,532.6544799804688,532.6544799804688,1.0191399965770074,92.7508611927008
212,2026-05-15 15:23:52,bad_angle,154,-39.26018624212736,620.0421752929688,620.0421752929688,16.9933569757354,110.5381354518964
213,2026-05-15 15:23:56,low_agl,356,-35.821358894482714,507.7672424316406,507.7672424316406,2.2611394608180104,22.36125728596178
214,2026-05-15 15:23:59,low_agl,253,-34.149292282105506,551.907470703125,551.907470703125,1.12064866719615,35.254697589748645
215,2026-05-15 15:24:01,low_agl,207,-40.70396991508312,582.695556640625,582.695556640625,19.619124164403836,52.005268661246774
216,2026-05-15 15:24:02,bad_angle,82,-47.255220044731665,665.1571044921875,665.1571044921875,71.84348821875169,110.16117048141422
