episode_id,timestamp,update_id,done_reason,episode_len,logged_steps,episode_return,sum_reward_from_steps,dense_no_terminal,start_distance,min_distance,final_distance,min_theta_deg,final_theta_deg,max_alignment,final_closing_speed,final_agl,reward_step_penalty,reward_distance,reward_alignment,reward_theta_progress,reward_closing,reward_final_approach,reward_terminal,pos_delta_frac,pos_closing_frac,pos_alignment_reward_frac,gate_zero_steps,gate_zero_base
53,2026-05-15 15:19:17,7521,bad_angle,59,59,-48.32482208311765,-48.32482208311765,1.6751779168823475,706.4884643554688,677.0279541015625,677.0279541015625,70.52927102998203,114.77716258667057,0.33332524292218246,22.159902572631836,8.043210983276367,-0.29500000000000015,1.4730255126953127,-0.8000987786583068,-0.1841913582770974,1.4814425411224363,0.0,-50.0,1.0,1.0,0.11864406779661017,0,0.0
54,2026-05-15 15:19:18,7652,low_agl,131,131,-50.38190738419789,-50.38190738419789,9.618092615802112,706.6427612304688,628.902587890625,628.902587890625,21.055540267614198,22.73149964275337,0.9332326001794935,37.885772705078125,0.5937835574150085,-0.6550000000000005,3.8870086669921844,2.435326489034642,0.08244672788746271,3.868310731887817,0.0,-60.0,1.0,1.0,0.8396946564885496,0,0.0
55,2026-05-15 15:19:19,7719,bad_angle,67,67,-47.296667121539905,-47.296667121539905,2.7033328784600954,706.4332885742188,671.2293701171875,671.2293701171875,52.314061513623045,111.02508012839411,0.6113328399209583,21.770231246948242,6.449173927307129,-0.3350000000000002,1.760195922851563,-0.3000871697891545,-0.1904836420888848,1.7687077674865723,0.0,-50.0,1.0,1.0,0.5522388059701493,0,0.0
56,2026-05-15 15:19:19,7754,bad_angle,35,35,-49.99389196015456,-49.99389196015456,0.006108039845436508,706.4231567382812,690.5713500976562,690.5713500976562,81.83259206857115,118.52371259171933,0.14206588743113413,21.166833877563477,4.102507591247559,-0.17500000000000007,0.7925903320312501,-1.2231372465011856,-0.18924456274395743,0.800899517059326,0.0,-50.0,1.0,1.0,0.0,0,0.0
57,2026-05-15 15:19:21,7946,low_agl,192,192,-43.47458230375011,-43.47458230375011,16.52541769624989,706.9441528320312,583.2300415039062,583.2300415039062,16.34956725023209,77.99956503844086,0.959562124778923,31.873870849609375,0.37881922721862793,-0.9600000000000007,6.185705566406248,5.373501816663559,-0.251556753775501,6.177767066955565,0.0,-60.0,1.0,1.0,0.8489583333333334,0,0.0
58,2026-05-15 15:19:23,8087,low_agl,141,141,-48.55373265754153,-48.55373265754153,11.44626734245847,707.0196533203125,621.4295043945312,621.4295043945312,13.526645797397592,76.16918362390416,0.972261249874126,32.37202453613281,0.3794300854206085,-0.7050000000000005,4.279507446289062,3.7453049833252456,-0.15606576662972374,4.282520679473874,0.0,-60.0,1.0,1.0,0.7092198581560284,0,0.0
59,2026-05-15 15:19:25,8307,low_agl,220,220,-38.18698351153016,-38.18698351153016,21.81301648846984,706.4352416992188,560.2755126953125,560.2755126953125,4.304387349376151,75.3780633029091,0.9971793892036704,32.2496223449707,0.5873925685882568,-1.0999999999999985,7.307986450195309,8.625413700619646,-0.32084110748976463,7.300457445144652,0.0,-60.0,1.0,1.0,0.8681818181818182,0,0.0
60,2026-05-15 15:19:28,8565,low_agl,258,258,-40.84151070679705,-40.84151070679705,19.158489293202948,706.7410278320312,547.962646484375,547.962646484375,5.81008035379066,64.5026262950646,0.9948629140551132,35.01352310180664,0.3624556362628937,-1.2899999999999945,7.938919067382813,4.858452509357668,-0.27361394819512797,7.924731664657593,0.0,-60.0,1.0,1.0,0.6007751937984496,0,0.0
61,2026-05-15 15:19:29,8663,bad_angle,98,98,-45.396624272448854,-45.396624272448854,4.603375727551146,707.382568359375,654.8724365234375,654.8724365234375,47.17312155932702,112.90464573514407,0.679785434850046,19.64746856689453,8.468925476074219,-0.4900000000000003,2.6255065917968756,0.06149492531188441,-0.22716870871655073,2.6335429191589355,0.0,-50.0,1.0,1.0,0.4897959183673469,0,0.0
62,2026-05-15 15:19:30,8723,bad_angle,60,60,-47.944034937025485,-47.944034937025485,2.055965062974515,706.730224609375,675.4555053710938,675.4555053710938,66.16977984881633,115.8318667379256,0.4040278275670334,22.459854125976562,7.801992416381836,-0.30000000000000016,1.5637359619140623,-0.5951338303028372,-0.18989930809288924,1.5772622394561768,0.0,-50.0,1.0,1.0,0.31666666666666665,0,0.0
63,2026-05-15 15:19:30,8752,bad_angle,29,29,-49.9598540869998,-49.9598540869998,0.04014591300020243,706.90966796875,693.608642578125,693.608642578125,81.54182408541453,111.40464057076089,0.14708742188446622,20.37356185913086,2.629976987838745,-0.14500000000000005,0.66505126953125,-0.9989447550595325,-0.15570602574214212,0.6747454242706299,0.0,-50.0,1.0,1.0,0.0,0,0.0
64,2026-05-15 15:19:31,8847,bad_angle,95,95,-45.36808852635922,-45.36808852635922,4.631911473640777,706.4605712890625,654.581298828125,654.581298828125,49.57514541116418,113.80037040327788,0.6484501911323151,21.23073959350586,10.329874038696289,-0.4750000000000003,2.593963623046875,0.12280255183552097,-0.21525526352799051,2.605400562286378,0.0,-50.0,1.0,1.0,0.6736842105263158,0,0.0
65,2026-05-15 15:19:31,8873,bad_angle,26,26,-49.9364930786554,-49.9364930786554,0.06350692134459734,706.529052734375,694.2140502929688,694.2140502929688,87.71990094442032,119.65912225820722,0.03978473293072502,21.62849998474121,2.813011646270752,-0.13000000000000003,0.6157501220703125,-0.8723534105578873,-0.17779612409116752,0.6279063339233399,0.0,-50.0,1.0,1.0,0.0,0,0.0
66,2026-05-15 15:19:32,8933,bad_angle,60,60,-48.67936727458304,-48.67936727458304,1.3206327254169565,707.1583251953125,678.0468139648438,678.0468139648438,74.75732205076,114.94664690073527,0.2629079183817298,21.32362937927246,5.719764232635498,-0.30000000000000016,1.4555755615234371,-1.1062887871639822,-0.19019901850121684,1.4615449695587164,0.0,-50.0,1.0,1.0,0.03333333333333333,0,0.0
67,2026-05-15 15:19:34,9115,low_agl,182,182,-42.193929546690946,-42.193929546690946,17.806070453309054,706.42333984375,588.5983276367188,588.5983276367188,1.1037582497089433,48.376723834488324,0.9998144507369636,35.64666748046875,0.43223902583122253,-0.9100000000000007,5.891250610351561,7.050061006895926,-0.10480155822554936,5.879560394287109,0.0,-60.0,1.0,1.0,0.8461538461538461,0,0.0
68,2026-05-15 15:19:35,9212,low_agl,97,97,-54.99683522106049,-54.99683522106049,5.003164778939507,707.00537109375,653.4409790039062,653.4409790039062,51.41976093993118,88.54030228638723,0.623610018305253,28.133975982666016,0.4121001660823822,-0.4850000000000003,2.6782196044921887,0.2563550788127711,-0.12865172946920866,2.6822418251037607,0.0,-60.0,1.0,1.0,0.5257731958762887,0,0.0
69,2026-05-15 15:19:38,9440,low_agl,228,228,-37.35636169973432,-37.35636169973432,22.64363830026568,706.4155883789062,549.4183349609375,549.4183349609375,15.260012058737074,79.66097440310061,0.9647413461329801,32.57817840576172,0.41392025351524353,-1.1399999999999977,7.849862670898434,8.427918171315277,-0.338642223420798,7.844499681472774,0.0,-60.0,1.0,1.0,0.9824561403508771,0,0.0
70,2026-05-15 15:19:39,9561,low_agl,121,121,-51.306439171399596,-51.306439171399596,8.693560828600404,706.5524291992188,635.1731567382812,635.1731567382812,38.72352185786092,71.95993611391124,0.7801736582946237,31.94358253479004,0.5688721537590027,-0.6050000000000004,3.568963623046874,2.2821525557321545,-0.11457330214395658,3.5620179519653306,0.0,-60.0,1.0,1.0,0.859504132231405,3,0.024823245300388316
71,2026-05-15 15:19:41,9733,bad_angle,172,172,-36.2885765285895,-36.2885765285895,13.711423471410498,706.5750122070312,600.5872802734375,600.5872802734375,1.9762537646406593,110.36088521274539,0.9994052052827317,21.20611000061035,17.442142486572266,-0.8600000000000007,5.299386596679688,4.2838479646896825,-0.318351195778576,5.306540105819703,0.0,-50.0,1.0,1.0,0.7558139534883721,0,0.0
72,2026-05-15 15:19:41,9759,bad_angle,26,26,-50.12594647119606,-50.12594647119606,-0.12594647119605895,707.3533325195312,695.5103149414062,695.5103149414062,82.35648123828946,127.54286810769445,0.13300922551454328,20.832660675048828,3.0549099445343018,-0.13000000000000003,0.5921508789062501,-0.9752665189920058,-0.2180504317877932,0.6052196006774903,0.0,-50.0,1.0,1.0,0.0,0,0.0
73,2026-05-15 15:19:43,9958,low_agl,199,199,-39.71041279626841,-39.71041279626841,20.289587203731593,706.4187622070312,577.5147705078125,577.5147705078125,4.732013540479602,58.77268497769252,0.996591448788669,34.70886993408203,0.4674328863620758,-0.9950000000000008,6.445199584960935,8.609603550554802,-0.20449242485665614,6.434276493072506,0.0,-60.0,1.0,1.0,0.9899497487437185,1,0.010758378058457902
74,2026-05-15 15:19:45,10090,low_agl,132,132,-49.92429712418879,-49.92429712418879,10.07570287581121,706.7470092773438,627.099853515625,627.099853515625,35.83921493363458,89.82001335947,0.8106632666409815,30.07027816772461,0.482276052236557,-0.6600000000000005,3.9823577880859373,2.965670001131081,-0.18971499671879702,3.9773900833129883,0.0,-60.0,1.0,1.0,0.7348484848484849,1,0.007022630368757699
75,2026-05-15 15:19:48,10377,bad_angle,287,287,-40.09315713048357,-40.09315713048357,9.906842869516431,706.4502563476562,559.7346801757812,559.7346801757812,49.23529910372644,110.8504731724519,0.6529541062727662,18.70458984375,10.581265449523926,-1.4349999999999914,7.335778808593755,-2.937589378062472,-0.4035483871104241,7.347201826095579,0.0,-50.0,1.0,1.0,0.3554006968641115,0,0.0
76,2026-05-15 15:19:49,10425,bad_angle,48,48,-48.058937793978025,-48.058937793978025,1.941062206021975,707.3943481445312,682.4561767578125,682.4561767578125,57.20620158211761,110.15817202836858,0.5416172258391905,21.927488327026367,7.715130805969238,-0.24000000000000013,1.2469085693359379,-0.15852347565868924,-0.159785938497559,1.2524630508422856,0.0,-50.0,1.0,1.0,0.4166666666666667,0,0.0
77,2026-05-15 15:19:50,10568,low_agl,143,143,-46.15057494698482,-46.15057494698482,13.849425053015182,707.0418090820312,617.1553344726562,617.1553344726562,14.606810332557489,47.26940673605669,0.9676792019948426,36.27762985229492,0.46401500701904297,-0.7150000000000005,4.494323730468751,5.653109474245903,-0.06106324355736949,4.478055091857909,0.0,-60.0,1.0,1.0,0.9790209790209791,1,0.012860073599811412
78,2026-05-15 15:19:50,10607,bad_angle,39,39,-50.53869025202287,-50.53869025202287,-0.5386902520228674,706.4219970703125,689.8430786132812,689.8430786132812,78.69718689988763,112.61153499710214,0.19599429008670943,21.43819236755371,3.705305814743042,-0.1950000000000001,0.8289459228515625,-1.830524319542068,-0.17879401857088784,0.8366821632385253,0.0,-50.0,1.0,1.0,0.0,0,0.0
79,2026-05-15 15:19:51,10672,bad_angle,65,65,-47.42067384007802,-47.42067384007802,2.579326159921983,706.4146728515625,672.5731811523438,672.5731811523438,60.321847013532285,112.0167689543666,0.49512742121287806,22.143537521362305,7.4619460105896,-0.3250000000000002,1.692074584960937,-0.3055406730329712,-0.18186572624914552,1.6996579742431641,0.0,-50.0,1.0,1.0,0.4,0,0.0
80,2026-05-15 15:19:52,10719,bad_angle,47,47,-48.543090554088536,-48.543090554088536,1.4569094459114638,707.2449951171875,683.592041015625,683.592041015625,67.04636632689576,111.30281611061433,0.3899860866188161,22.226226806640625,4.907083988189697,-0.23500000000000013,1.182647705078125,-0.5129211386547329,-0.16558156104842398,1.187764440536499,0.0,-50.0,1.0,1.0,0.2765957446808511,0,0.0
81,2026-05-15 15:19:53,10863,bad_angle,144,144,-39.73646074225587,-39.73646074225587,10.263539257744128,707.1326904296875,617.3844604492188,617.3844604492188,40.86184235112765,114.56527645823844,0.7562893435815224,20.163240432739258,16.364154815673828,-0.7200000000000005,4.4874114990234375,2.2887278957481905,-0.2936136448705151,4.501013507843021,0.0,-50.0,1.0,1.0,0.7152777777777778,0,0.0
82,2026-05-15 15:19:54,10890,bad_angle,27,27,-49.42554901077123,-49.42554901077123,0.5744509892287724,707.37255859375,694.3602905273438,694.3602905273438,78.9462155970263,111.51235948416115,0.19173037925326672,21.4656982421875,3.7423911094665527,-0.13500000000000004,0.6506134033203126,-0.4577597827402412,-0.1420852065771288,0.6586825752258301,0.0,-50.0,1.0,1.0,0.0,0,0.0
83,2026-05-15 15:19:55,11008,low_agl,118,118,-49.304426002142506,-49.304426002142506,10.695573997857494,706.6807250976562,632.1605224609375,632.1605224609375,19.5675425757919,60.91658573551114,0.9422473312166262,31.51031494140625,0.5790739059448242,-0.5900000000000004,3.726010131835937,3.9090801573342837,-0.06346480434372534,3.713948513031005,0.0,-60.0,1.0,1.0,0.9322033898305084,0,0.0
84,2026-05-15 15:20:01,11618,low_agl,610,610,-1.7193031220487,-1.7193031220487,58.2806968779513,706.5958251953125,300.46563720703125,300.46563720703125,0.7813458934059555,71.7520114951977,0.9999070167596109,26.978374481201172,0.46690118312835693,-3.049999999999957,20.306509399414075,21.488010187118025,-0.7596778435448028,20.295855134963986,0.0,-60.0,1.0,1.0,0.8426229508196721,0,0.0
85,2026-05-15 15:20:04,11878,bad_angle,260,260,-28.44115635631495,-28.44115635631495,21.55884364368505,706.4743041992188,544.2333984375,544.2333984375,4.314068288750998,111.98257702738151,0.9971666933421686,22.15848159790039,8.881511688232422,-1.2999999999999943,8.112045288085936,7.09174570559076,-0.4665739349983541,8.121626585006714,0.0,-50.0,1.0,1.0,0.7269230769230769,0,0.0
86,2026-05-15 15:20:07,12085,low_agl,207,207,-38.79112413337663,-38.79112413337663,21.208875866623373,706.4473266601562,571.2496948242188,571.2496948242188,1.408477000967013,58.05376658641366,0.9996978640603277,36.55023193359375,0.41680845618247986,-1.035,6.759881591796879,8.94716307942391,-0.2109599327559895,6.747791128158572,0.0,-60.0,1.0,1.0,0.9903381642512077,0,0.0
87,2026-05-15 15:20:10,12357,low_agl,272,272,-32.2528384202589,-32.2528384202589,27.747161579741103,706.7904052734375,529.025634765625,529.025634765625,3.7467450923269228,97.88730005233379,0.9978626371053669,23.63534927368164,0.45418083667755127,-1.359999999999993,8.888238525390625,11.753877915638858,-0.4225737901976743,8.887618928909303,0.0,-60.0,1.0,1.0,0.9227941176470589,0,0.0
88,2026-05-15 15:20:13,12631,bad_angle,274,274,-22.303220562576577,-22.303220562576577,27.696779437423423,706.8016357421875,529.2505493164062,529.2505493164062,2.032302723856607,115.17913287970416,0.9993709922395413,20.08168601989746,3.858388662338257,-1.3699999999999928,8.87755432128907,11.83248642811696,-0.5284260954603606,8.885164783477782,0.0,-50.0,1.0,1.0,0.9051094890510949,1,0.0028823564234962324
89,2026-05-15 15:20:14,12744,bad_angle,113,113,-42.17993300621569,-42.17993300621569,7.820066993784309,707.1539306640625,641.9866333007812,641.9866333007812,41.411061277382956,113.05497819877604,0.7499833856211775,21.44045066833496,13.12238597869873,-0.5650000000000004,3.258364868164063,2.1445565306610677,-0.2818395982933861,3.263985193252561,0.0,-50.0,1.0,1.0,0.8053097345132744,2,0.022087668627025665
