timestamp,update_id,loss,policy_loss,value_loss,entropy,kl,clip_frac,alpha,q1_loss,q2_loss,gamma,lam,lr
2026-05-09 17:44:49,24000,-8.685696601867676,-1.7335216999053955,0.013203084468841553,2.0261621475219727,-6.9653778076171875,0.24606291949748993,0.24606291949748993,0.006994822062551975,0.006208262871950865,0.995,0.0,3e-05
2026-05-09 17:44:56,24500,-8.830587387084961,-1.7704098224639893,0.033212244510650635,2.078763723373413,-7.093389511108398,0.24594683945178986,0.24594683945178986,0.0170004740357399,0.016211768612265587,0.995,0.0,3e-05
2026-05-09 17:45:03,25000,-8.873806953430176,-1.7943060398101807,0.018781062215566635,1.995967149734497,-7.0982818603515625,0.24582348763942719,0.24582348763942719,0.009297714568674564,0.00948334764689207,0.995,0.0,3e-05
2026-05-09 17:45:10,25500,-8.837121963500977,-1.7976174354553223,0.02091260440647602,2.0866541862487793,-7.060417652130127,0.24570795893669128,0.24570795893669128,0.010796571150422096,0.010116033256053925,0.995,0.0,3e-05
2026-05-09 17:45:17,26000,-8.887060165405273,-1.8689717054367065,0.010219315998256207,2.0878615379333496,-7.028307914733887,0.24558506906032562,0.24558506906032562,0.00541714858263731,0.0048021674156188965,0.995,0.0,3e-05
2026-05-09 17:45:24,26500,-8.280742645263672,-1.8964160680770874,0.7027960419654846,1.9714614152908325,-7.087122917175293,0.24546237289905548,0.24546237289905548,0.35936951637268066,0.34342652559280396,0.995,0.0,3e-05
2026-05-09 17:45:31,27000,-9.007319450378418,-1.9065885543823242,0.011128278449177742,2.042248010635376,-7.111859321594238,0.24534760415554047,0.24534760415554047,0.005535629577934742,0.005592648405581713,0.995,0.0,3e-05
2026-05-09 17:45:38,27500,-9.159849166870117,-1.985106110572815,0.008967358618974686,2.0773439407348633,-7.183710098266602,0.24522504210472107,0.24522504210472107,0.005036133341491222,0.003931225743144751,0.995,0.0,3e-05
2026-05-09 17:45:45,28000,-9.026503562927246,-1.9644360542297363,0.008617747575044632,2.003267526626587,-7.070685386657715,0.24510270357131958,0.24510270357131958,0.00460163364186883,0.004016113467514515,0.995,0.0,3e-05
2026-05-09 17:45:52,28500,-9.00832462310791,-1.9896433353424072,0.013513555750250816,1.9989335536956787,-7.032195091247559,0.2449883073568344,0.2449883073568344,0.0074899946339428425,0.0060235606506466866,0.995,0.0,3e-05
2026-05-09 17:45:59,29000,-9.119955062866211,-1.9908157587051392,0.012470060028135777,2.0275678634643555,-7.141609191894531,0.2448667585849762,0.2448667585849762,0.007472067140042782,0.004997992888092995,0.995,0.0,3e-05
2026-05-09 17:46:06,29500,-9.148116111755371,-2.110657215118408,0.009339578449726105,2.066645383834839,-7.046798229217529,0.2447529137134552,0.2447529137134552,0.005457459017634392,0.003882119432091713,0.995,0.0,3e-05
2026-05-09 17:46:13,30000,-9.238321304321289,-2.1170949935913086,0.008472880348563194,2.0497145652770996,-7.129699230194092,0.2446315586566925,0.2446315586566925,0.004552577622234821,0.003920302260667086,0.995,0.0,3e-05
2026-05-09 17:46:20,30500,-9.184280395507812,-2.1208908557891846,0.022597134113311768,2.06449031829834,-7.085986137390137,0.2445105016231537,0.2445105016231537,0.012367408722639084,0.010229725390672684,0.995,0.0,3e-05
2026-05-09 17:46:27,31000,-9.21895980834961,-2.1812596321105957,0.011455192230641842,2.0153586864471436,-7.049155235290527,0.24439707398414612,0.24439707398414612,0.0066582453437149525,0.004796946886926889,0.995,0.0,3e-05
2026-05-09 17:46:34,31500,-9.307535171508789,-2.173703670501709,0.018959015607833862,2.0507612228393555,-7.152790546417236,0.24427631497383118,0.24427631497383118,0.009881402365863323,0.009077612310647964,0.995,0.0,3e-05
2026-05-09 17:46:41,32000,-9.39382553100586,-2.283442974090576,0.016532381996512413,2.0370278358459473,-7.126914978027344,0.24415570497512817,0.24415570497512817,0.008879429660737514,0.007652951870113611,0.995,0.0,3e-05
2026-05-09 17:46:48,32500,-8.486004829406738,-2.2504262924194336,0.8250366449356079,2.0182554721832275,-7.060615539550781,0.24404264986515045,0.24404264986515045,0.40416064858436584,0.4208759665489197,0.995,0.0,3e-05
2026-05-09 17:46:55,33000,-9.497747421264648,-2.3126025199890137,0.007493130397051573,2.074387550354004,-7.1926374435424805,0.243922159075737,0.243922159075737,0.0035401098430156708,0.003953020554035902,0.995,0.0,3e-05
2026-05-09 17:47:02,33500,-9.376079559326172,-2.313126802444458,0.0126913171261549,2.0267136096954346,-7.075644016265869,0.2438095510005951,0.2438095510005951,0.006874654442071915,0.005816662218421698,0.995,0.0,3e-05
2026-05-09 17:47:09,34000,-9.439927101135254,-2.3429884910583496,0.009907050058245659,2.0087742805480957,-7.106845855712891,0.2436896115541458,0.2436896115541458,0.0051322509534657,0.004774798639118671,0.995,0.0,3e-05
2026-05-09 17:47:16,34500,-7.868118762969971,-2.3851258754730225,1.6097100973129272,2.058406352996826,-7.092702865600586,0.24356979131698608,0.24356979131698608,0.8087214827537537,0.8009886145591736,0.995,0.0,3e-05
2026-05-09 17:47:23,35000,-9.525882720947266,-2.465597152709961,0.016181109473109245,2.03073787689209,-7.0764665603637695,0.24345745146274567,0.24345745146274567,0.00824148952960968,0.007939619943499565,0.995,0.0,3e-05
2026-05-09 17:47:30,35500,-9.479874610900879,-2.437174081802368,0.011302013881504536,2.0548362731933594,-7.05400276184082,0.24333781003952026,0.24333781003952026,0.0057969046756625175,0.005505109205842018,0.995,0.0,3e-05
2026-05-09 17:47:38,36000,-9.133962631225586,-2.4662153720855713,0.5436794757843018,2.0202324390411377,-7.211426734924316,0.2432185262441635,0.2432185262441635,0.27510762214660645,0.2685718536376953,0.995,0.0,3e-05
2026-05-09 17:47:45,36500,-8.824919700622559,-2.5139012336730957,0.799182653427124,2.0580403804779053,-7.110200881958008,0.24310636520385742,0.24310636520385742,0.4023274779319763,0.3968551754951477,0.995,0.0,3e-05
2026-05-09 17:47:52,37000,-9.553776741027832,-2.5606207847595215,0.01249716803431511,2.037827968597412,-7.005653381347656,0.2429872304201126,0.2429872304201126,0.005770232528448105,0.006726935040205717,0.995,0.0,3e-05
2026-05-09 17:47:59,37500,-9.619717597961426,-2.543483257293701,0.009370199404656887,2.042017936706543,-7.085604190826416,0.2428755909204483,0.2428755909204483,0.005274459719657898,0.004095739684998989,0.995,0.0,3e-05
2026-05-09 17:48:06,38000,-9.668338775634766,-2.5792770385742188,0.019895045086741447,2.010906457901001,-7.108956813812256,0.24275678396224976,0.24275678396224976,0.009206017479300499,0.010689027607440948,0.995,0.0,3e-05
2026-05-09 17:48:13,38500,-9.710027694702148,-2.6378493309020996,0.01467951200902462,2.0229721069335938,-7.086857795715332,0.24263791739940643,0.24263791739940643,0.005816926714032888,0.008862584829330444,0.995,0.0,3e-05
2026-05-09 17:48:20,39000,-9.84294319152832,-2.734729290008545,0.011729329824447632,2.0730695724487305,-7.119942665100098,0.24252647161483765,0.24252647161483765,0.005587380845099688,0.006141949445009232,0.995,0.0,3e-05
2026-05-09 17:48:27,39500,-9.859525680541992,-2.726513385772705,0.008218195289373398,2.0481081008911133,-7.141230583190918,0.24240761995315552,0.24240761995315552,0.004147158470004797,0.004071037285029888,0.995,0.0,3e-05
2026-05-09 17:48:34,40000,-9.847738265991211,-2.6961541175842285,0.021701965481042862,1.983891487121582,-7.173286437988281,0.24228881299495697,0.24228881299495697,0.011169185861945152,0.01053277961909771,0.995,0.0,3e-05
2026-05-09 17:48:41,40500,-9.33138656616211,-2.7241768836975098,0.5447498559951782,2.0953361988067627,-7.151959419250488,0.24217770993709564,0.24217770993709564,0.27376794815063477,0.27098187804222107,0.995,0.0,3e-05
2026-05-09 17:48:48,41000,-9.909310340881348,-2.7532455921173096,0.011064465157687664,2.0180742740631104,-7.167129039764404,0.24205945432186127,0.24205945432186127,0.005575151182711124,0.00548931397497654,0.995,0.0,3e-05
2026-05-09 17:48:55,41500,-9.924436569213867,-2.8069276809692383,0.016229378059506416,2.0382866859436035,-7.133738040924072,0.24194860458374023,0.24194860458374023,0.008171145804226398,0.008058232255280018,0.995,0.0,3e-05
2026-05-09 17:49:02,42000,-10.068958282470703,-2.908486843109131,0.00819864310324192,2.03841233253479,-7.168670654296875,0.24183061718940735,0.24183061718940735,0.004048100672662258,0.00415054289624095,0.995,0.0,3e-05
2026-05-09 17:49:10,42500,-9.935615539550781,-2.889652967453003,0.019174281507730484,2.0770368576049805,-7.065136909484863,0.2417125552892685,0.2417125552892685,0.009005840867757797,0.010168440639972687,0.995,0.0,3e-05
2026-05-09 17:49:17,43000,-10.111092567443848,-2.9341039657592773,0.00714371632784605,2.0605807304382324,-7.1841325759887695,0.24160203337669373,0.24160203337669373,0.003633030690252781,0.0035106854047626257,0.995,0.0,3e-05
2026-05-09 17:49:24,43500,-10.129945755004883,-2.9572744369506836,0.008917760103940964,2.0446619987487793,-7.181589126586914,0.24148419499397278,0.24148419499397278,0.004652796313166618,0.004264963790774345,0.995,0.0,3e-05
2026-05-09 17:49:31,44000,-10.213945388793945,-2.9991564750671387,0.014635571278631687,2.033297538757324,-7.229423999786377,0.24136656522750854,0.24136656522750854,0.007305262144654989,0.007330309133976698,0.995,0.0,3e-05
2026-05-09 17:49:38,44500,-9.208780288696289,-2.95346736907959,1.0114765167236328,2.0670623779296875,-7.266789436340332,0.24125610291957855,0.24125610291957855,0.511741578578949,0.49973490834236145,0.995,0.0,3e-05
2026-05-09 17:49:45,45000,-10.213479042053223,-3.042837619781494,0.014419270679354668,2.046441078186035,-7.185060977935791,0.2411385476589203,0.2411385476589203,0.007186925038695335,0.007232345640659332,0.995,0.0,3e-05
2026-05-09 17:49:52,45500,-10.233267784118652,-3.052276611328125,0.011753389611840248,2.0301265716552734,-7.192744255065918,0.2410287708044052,0.2410287708044052,0.005641162395477295,0.0061122276820242405,0.995,0.0,3e-05
2026-05-09 17:49:59,46000,-10.356279373168945,-3.0994606018066406,0.00928734615445137,2.037717819213867,-7.266106605529785,0.24091152846813202,0.24091152846813202,0.0046593318693339825,0.0046280138194561005,0.995,0.0,3e-05
2026-05-09 17:50:06,46500,-10.297428131103516,-3.173074722290039,0.012644395232200623,2.0053701400756836,-7.136997699737549,0.24079440534114838,0.24079440534114838,0.006095171440392733,0.006549224257469177,0.995,0.0,3e-05
2026-05-09 17:50:13,47000,-10.454858779907227,-3.256498098373413,0.0064909374341368675,2.1069793701171875,-7.204851150512695,0.2406846284866333,0.2406846284866333,0.0029960155952721834,0.0034949216060340405,0.995,0.0,3e-05
